URI	code	Label (English)	Label (French)
http://id.loc.gov/vocabulary/iso639-2/aar	aar	Afar	afar
http://id.loc.gov/vocabulary/iso639-2/abk	abk	Abkhazian	abkhaze
http://id.loc.gov/vocabulary/iso639-2/ace	ace	Achinese	aceh
http://id.loc.gov/vocabulary/iso639-2/ach	ach	Acoli	acoli
http://id.loc.gov/vocabulary/iso639-2/ada	ada	Adangme	adangme
http://id.loc.gov/vocabulary/iso639-2/ady	ady	Adyghe |  Adygei	adyghé
http://id.loc.gov/vocabulary/iso639-2/afa	afa	Afro-Asiatic languages	afro-asiatiques, langues
http://id.loc.gov/vocabulary/iso639-2/afh	afh	Afrihili	afrihili
http://id.loc.gov/vocabulary/iso639-2/afr	afr	Afrikaans	afrikaans
http://id.loc.gov/vocabulary/iso639-2/ain	ain	Ainu	aïnou
http://id.loc.gov/vocabulary/iso639-2/aka	aka	Akan	akan
http://id.loc.gov/vocabulary/iso639-2/akk	akk	Akkadian	akkadien
http://id.loc.gov/vocabulary/iso639-2/alb	alb	Albanian	albanais
http://id.loc.gov/vocabulary/iso639-2/ale	ale	Aleut	aléoute
http://id.loc.gov/vocabulary/iso639-2/alg	alg	Algonquian languages	algonquines, langues
http://id.loc.gov/vocabulary/iso639-2/alt	alt	Southern Altai	altai du Sud
http://id.loc.gov/vocabulary/iso639-2/amh	amh	Amharic	amharique
http://id.loc.gov/vocabulary/iso639-2/ang	ang	English, Old (ca.450-1100)	anglo-saxon (ca.450-1100)
http://id.loc.gov/vocabulary/iso639-2/anp	anp	Angika	angika
http://id.loc.gov/vocabulary/iso639-2/apa	apa	Apache languages	apaches, langues
http://id.loc.gov/vocabulary/iso639-2/ara	ara	Arabic	arabe
http://id.loc.gov/vocabulary/iso639-2/arc	arc	Official Aramaic (700-300 BCE) |  Imperial Aramaic (700-300 BCE)	araméen d'empire (700-300 BCE)
http://id.loc.gov/vocabulary/iso639-2/arg	arg	Aragonese	aragonais
http://id.loc.gov/vocabulary/iso639-2/arm	arm	Armenian	arménien
http://id.loc.gov/vocabulary/iso639-2/arn	arn	Mapudungun |  Mapuche	mapudungun |  mapuche |  mapuce
http://id.loc.gov/vocabulary/iso639-2/arp	arp	Arapaho	arapaho
http://id.loc.gov/vocabulary/iso639-2/art	art	Artificial languages	artificielles, langues
http://id.loc.gov/vocabulary/iso639-2/arw	arw	Arawak	arawak
http://id.loc.gov/vocabulary/iso639-2/asm	asm	Assamese	assamais
http://id.loc.gov/vocabulary/iso639-2/ast	ast	Asturian |  Bable |  Leonese |  Asturleonese	asturien |  bable |  léonais |  asturoléonais
http://id.loc.gov/vocabulary/iso639-2/ath	ath	Athapascan languages	athapascanes, langues
http://id.loc.gov/vocabulary/iso639-2/aus	aus	Australian languages	australiennes, langues
http://id.loc.gov/vocabulary/iso639-2/ava	ava	Avaric	avar
http://id.loc.gov/vocabulary/iso639-2/ave	ave	Avestan	avestique
http://id.loc.gov/vocabulary/iso639-2/awa	awa	Awadhi	awadhi
http://id.loc.gov/vocabulary/iso639-2/aym	aym	Aymara	aymara
http://id.loc.gov/vocabulary/iso639-2/aze	aze	Azerbaijani	azéri
http://id.loc.gov/vocabulary/iso639-2/bad	bad	Banda languages	banda, langues
http://id.loc.gov/vocabulary/iso639-2/bai	bai	Bamileke languages	bamiléké, langues
http://id.loc.gov/vocabulary/iso639-2/bak	bak	Bashkir	bachkir
http://id.loc.gov/vocabulary/iso639-2/bal	bal	Baluchi	baloutchi
http://id.loc.gov/vocabulary/iso639-2/bam	bam	Bambara	bambara
http://id.loc.gov/vocabulary/iso639-2/ban	ban	Balinese	balinais
http://id.loc.gov/vocabulary/iso639-2/baq	baq	Basque	basque
http://id.loc.gov/vocabulary/iso639-2/bas	bas	Basa	basa
http://id.loc.gov/vocabulary/iso639-2/bat	bat	Baltic languages	baltes, langues
