URI	code	Label (English)	Label (French)
http://id.loc.gov/vocabulary/iso639-1/aa	aa	Afar	afar
http://id.loc.gov/vocabulary/iso639-1/ab	ab	Abkhazian	abkhaze
http://id.loc.gov/vocabulary/iso639-1/ae	ae	Avestan	avestique
http://id.loc.gov/vocabulary/iso639-1/af	af	Afrikaans	afrikaans
http://id.loc.gov/vocabulary/iso639-1/ak	ak	Akan	akan
http://id.loc.gov/vocabulary/iso639-1/am	am	Amharic	amharique
http://id.loc.gov/vocabulary/iso639-1/an	an	Aragonese	aragonais
http://id.loc.gov/vocabulary/iso639-1/ar	ar	Arabic	arabe
http://id.loc.gov/vocabulary/iso639-1/as	as	Assamese	assamais
http://id.loc.gov/vocabulary/iso639-1/av	av	Avaric	avar
http://id.loc.gov/vocabulary/iso639-1/ay	ay	Aymara	aymara
http://id.loc.gov/vocabulary/iso639-1/az	az	Azerbaijani	azéri
http://id.loc.gov/vocabulary/iso639-1/ba	ba	Bashkir	bachkir
http://id.loc.gov/vocabulary/iso639-1/be	be	Belarusian	biélorusse
http://id.loc.gov/vocabulary/iso639-1/bg	bg	Bulgarian	bulgare
http://id.loc.gov/vocabulary/iso639-1/bh	bh	Bihari languages	langues biharis
http://id.loc.gov/vocabulary/iso639-1/bi	bi	Bislama	bichlamar
http://id.loc.gov/vocabulary/iso639-1/bm	bm	Bambara	bambara
http://id.loc.gov/vocabulary/iso639-1/bn	bn	Bengali	bengali
http://id.loc.gov/vocabulary/iso639-1/bo	bo	Tibetan	tibétain
http://id.loc.gov/vocabulary/iso639-1/br	br	Breton	breton
http://id.loc.gov/vocabulary/iso639-1/bs	bs	Bosnian	bosniaque
http://id.loc.gov/vocabulary/iso639-1/ca	ca	Catalan |  Valencian	catalan |  valencien
http://id.loc.gov/vocabulary/iso639-1/ce	ce	Chechen	tchétchène
http://id.loc.gov/vocabulary/iso639-1/ch	ch	Chamorro	chamorro
http://id.loc.gov/vocabulary/iso639-1/co	co	Corsican	corse
http://id.loc.gov/vocabulary/iso639-1/cr	cr	Cree	cree
http://id.loc.gov/vocabulary/iso639-1/cs	cs	Czech	tchèque
http://id.loc.gov/vocabulary/iso639-1/cu	cu	Church Slavic |  Old Slavonic |  Church Slavonic |  Old Bulgarian |  Old Church Slavonic	slavon d'église |  vieux slave |  slavon liturgique |  vieux bulgare
http://id.loc.gov/vocabulary/iso639-1/cv	cv	Chuvash	tchouvache
http://id.loc.gov/vocabulary/iso639-1/cy	cy	Welsh	gallois
http://id.loc.gov/vocabulary/iso639-1/da	da	Danish	danois
http://id.loc.gov/vocabulary/iso639-1/de	de	German	allemand
http://id.loc.gov/vocabulary/iso639-1/dv	dv	Divehi |  Dhivehi |  Maldivian	maldivien
http://id.loc.gov/vocabulary/iso639-1/dz	dz	Dzongkha	dzongkha
http://id.loc.gov/vocabulary/iso639-1/ee	ee	Ewe	éwé
http://id.loc.gov/vocabulary/iso639-1/el	el	Greek, Modern (1453-)	grec moderne (après 1453)
http://id.loc.gov/vocabulary/iso639-1/en	en	English	anglais
http://id.loc.gov/vocabulary/iso639-1/eo	eo	Esperanto	espéranto
